OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,WEB_URL,DESCRIPTION,X,Y,LATITUDE,LONGITUDE,OBJECTID_1,POINT_X,POINT_Y,INSTALL_YE,TOTAL_SITE,EXTERIOR_C,INTERIOR_C,TOTAL_STAT,TOTAL_SI_1,TOTAL_SI_2,AVAILABLE_,DESCRIPTIO
,110,CCTV-0074,S. Capitol St. and I St.,DDOT, , , , , , ,1, , , , , , , , ,399213.477499,134610.257999,38.879325,-77.009065,426,,,,,,,,,,,
,111,CCTV-0079,N. Capitol St. and H St.,DDOT, , , , , , ,1, , , , , , , , ,399213.911497,136928.640995,38.90021,-77.009062,427,,,,,,,,,,,
,112,CCTV-0085,N. Capitol St. and New York Ave.,DDOT, , , , , , ,1, , , , , , , , ,399216.623495,137720.227998,38.907341,-77.009032,428,,,,,,,,,,,
,113,CCTV-135,S. Capitol and patomac St.,DDOT, , , , , , ,1, , , , , , , , ,399229.592502,133663.492995,38.870796,-77.008878,429,,,,,,,,,,,
,114,W.B. Patterson Elementary School,4399 SOUTH CAPITOL TERRACE SW,DCPS,2003,0,1,0,1,2,7,25,0,32,32,32,0, , ,399263.250494,128798.030004,38.826966,-77.008485,430,,,,,,,,,,,
,115,CCTV-0099,South Capitol St. and Atlantic St. S.E.,DDOT, , , , , , ,1, , , , , , , , ,399331.113498,129290.504998,38.831403,-77.007704,431,,,,,,,,,,,
,116,Mamie D. Lee School,100 GALLATIN STREET NE,DCPS,1999,2,0,0,2,1,2,14,0,16,15,28,12, , ,399373.847497,142735.380003,38.952519,-77.007224,432,,,,,,,,,,,
,117,Emery Elementary School,1720 1ST STREET NE,DCPS,1999,1,0,0,1,2,2,12,0,14,14,14,0, , ,399412.340497,138404.239997,38.913503,-77.006776,433,,,,,,,,,,,
,118,CCTV-0005,Florida Ave. and New York Ave. N.E.,DDOT, , , , , , ,1, , , , , , , , ,399604.473495,137895.487001,38.90892,-77.00456,434,,,,,,,,,,,
,119,McKinley Technology High School,151 T STREET NE,DCPS,2004,0,4,0,4,8,13,85,0,98,108,128,30, , ,399642.480496,138594.830002,38.91522,-77.004122,435,,,,,,,,,,,
,120,CCTV-0062,Pennsylvania Ave. and 2nd St. S.E.,DDOT, , , , , , ,1, , , , , , , , ,399695.0735,135530.545004,38.887616,-77.003515,436,,,,,,,,,,,
,121,Patricia R. Harris Educational Center,4600 LIVINGSTON ROAD SE,DCPS,1999,0,1,0,1,2,3,25,0,28,28,32,4, , ,399731.950497,128458.049999,38.823904,-77.003087,437,,,,,,,,,,,
,122,Ludlow-Taylor Elementary School,659 G STREET NE,DCPS,2003,0,1,0,1,1,5,13,0,18,18,32,14, , ,400304.260497,136765.859999,38.898744,-76.996492,438,,,,,,,,,,,
