X,Y,OBJECTID,LATITUDE,LONGITUDE,ROUTES,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_OPS_FTU_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,CREATED_DATE,LAST_EDITED_DATE,BX_UPDATE_DATE,BX_UPDATE_USER,LAST_UPDATE_DATE
-77.058896425708966,38.827001730307131,7013,38.826994,-77.058891,,1303204,4000311,1691,PRS,NON,1976-05-18T00:00:00.000Z,REV,E OXFORD AVE,MT VERNON AVE,178,NEA,UNKNOWN,MT VERNON AVE + E OXFORD AVE,,KFH,2009-01-15T00:00:00.000Z,1,FRE,UNKW,N,N,N,N,58U,BRK,NON,Y,N,E,6,Y,Y,N,NON,UNK,1.7,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,YMR,,U,Y,U,Y,U,U,U,U,,,,,
-77.033340186435282,38.957205574467132,7014,38.957198,-77.033335,,1308353,1002631,8751,PRS,NON,1947-05-06T00:00:00.000Z,REV,LONGFELLOW ST NW,14TH ST NW,358,NEA,UNKNOWN,14TH ST NW + LONGFELLOW ST NW,,KFH,2006-05-19T00:00:00.000Z,0,UNK,WMAT,N,Y,N,N,58U,CON,NON,Y,N,E,6,Y,Y,N,NON,UNK,2.5,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,NSG,,N,Y,U,Y,U,U,U,U,,,,,
-76.987074634739372,38.832419650251985,7015,38.832412,-76.987069,,1306977,1000064,1923,PRS,NON,1965-10-03T00:00:00.000Z,REV,WHEELER RD SE,SOUTHERN AVE SE,225,NEA,E OF 1ST ALLEY,SOUTHERN AVE SE + WHEELER RD SE,,KFH,2006-04-17T00:00:00.000Z,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,6,Y,Y,N,NON,UNK,4.3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,YUN,,U,Y,U,Y,U,U,U,U,,,,,
-77.040468259967142,38.924058611196259,7016,38.924051,-77.040463,,1301895,1001862,7245,PRS,NON,1961-12-03T00:00:00.000Z,REV,ONTARIO RD NW,COLUMBIA RD NW,50,NEA,UNKNOWN,COLUMBIA RD NW + ONTARIO RD NW,,KFH,2009-06-25T00:00:00.000Z,1,INS,WMAT,N,Y,Y,Y,58O,CON,SHL,Y,Y,U,6,N,Y,N,NON,UNK,3.2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,,N,N,U,N,U,U,U,U,,,,,
-77.003327292181936,38.930113593895605,7017,38.930106,-77.003322,,1302049,1002050,7580,PRS,NON,1965-04-16T00:00:00.000Z,REV,IRVING ST NE,MICHIGAN AVE NE,231,FAR,@ CLOSED CUT-OFF FROM IRVING ST,MICHIGAN AVE NE + IRVING ST NE,,KFH,2006-06-16T00:00:00.000Z,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,8,N,Y,N,NON,UNK,5.2,N,Y,Y,N,N,Y,Y,U,Y,N,N,NSG,,N,Y,U,N,U,U,U,U,,,,,
-76.914300074411599,39.045420433097057,7018,39.045413,-76.914295,,1300929,3002495,10728,PRS,NON,1974-09-01T00:00:00.000Z,REV,CEDAR LN,POWDER MILL RD,138,NEA,UNKNOWN,POWDER MILL RD + CEDAR LN,,KFH,2009-05-22T00:00:00.000Z,0,UNK,UNKW,N,N,N,N,UNK,UNK,UNK,U,N,E,0,U,E,U,UNK,UNK,,N,N,N,N,N,N,N,U,N,N,N,NPL,,U,Y,U,N,U,U,U,U,,,,,
-76.912607077516881,39.044129431851786,7019,39.044122,-76.912602,,1300927,3002491,10706,PRS,NON,1901-01-01T00:00:00.000Z,REV,ODELL RD,POWDER MILL RD,140,NEA,@ PEPCO POLE #836040,POWDER MILL RD + ODELL RD,,KFH,2009-05-22T00:00:00.000Z,0,UNK,UNKW,N,N,N,N,UNK,UNK,UNK,U,N,E,0,U,E,U,UNK,UNK,,N,N,U,N,N,N,U,N,N,N,N,NPL,,U,N,U,N,U,U,U,U,,,,,
-77.111512066408835,39.060638568067617,7020,39.060631,-77.111507,,1309325,2000700,10938,PRS,NON,1968-06-10T00:00:00.000Z,REV,WILKINS AVE,PARKLAWN DR,341,FAR,BET DRWYS TO GAS STATION,PARKLAWN DR + WILKINS AVE,,KFH,2012-02-02T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,SWK,CON,NON,Y,N,E,3,Y,Y,Y,NON,NON,4.2,Y,N,U,Y,Y,N,E,Y,Y,Y,Y,NPL,150,N,Y,N,N,U,U,U,U,,,,,
-76.998532596652026,38.839168672544325,7021,38.839161,-76.998527,,1309620,1000111,2261,PRS,NON,1997-03-24T00:00:00.000Z,UNK,#3633,6TH ST SE,182,NEA,"@ CATCH BASIN; N OF STEPS TO #3633",6TH ST SE + #3633,,KFH,2006-04-19T00:00:00.000Z,0,UNK,WMAT,N,Y,N,N,58U,CON,NON,Y,Y,U,4,Y,Y,Y,NON,SLP,,N,N,U,N,N,N,U,U,N,N,N,YUN,,U,Y,U,N,U,U,U,U,,,,,
-77.203495024722386,38.915096676037876,7022,38.915089,-77.20349,,1306071,5001968,14146,PRS,NON,1901-01-01T00:00:00.000Z,REV,STANLEY PL,GRIFFITH RD,289,NEA,UNKNOWN,GRIFFITH RD + STANLEY PL,,KFH,2012-03-28T00:00:00.000Z,0,UNK,NAPP,N,N,N,N,SWK,CON,NON,N,N,E,3,N,N,Y,NON,NON,9,N,N,Y,E,N,N,N,E,N,N,N,YUN,,N,N,N,N,U,U,U,U,,,,,
